s_1;email;statoverall_1;statoverall_2;statoverall_3;statoverall_4;statoverall_5;s_10;s_11;s_12;s_13;s_14;s_2;s_3;s_4;s_5;s_6;s_7;s_8;s_9;s_17;s_15;s_18;s_16;id;s_35;s_30;s_31;s_32;s_33;s_21;s_34;s_23;s_26
7;"";0;0;0;1;0;3;1;2;5;2;6;6;6;6;6;6;6;4;4;"";"Specifically, I thought about how to exactly set-up codes for the alarm system. This includes whether both codes should be randomized or if one should be able to choose codes for the system.     For example, I could choose to use my birth date for my ""safe"" pin and my CPR-number for my silent alarm pin. Concerningly, I would be interested in knowing if there was more risk in easily remembering the pincodes or if it was important that they were randomized.     As an example, I could risk using my CPR-number code even though it was safe, since it still has a personal remembrance for me.     Hope it makes sense somehow!";"";"cALytGGpb3";"Denmark";7;7;6;6;5;6;5;6
5;"";0;0;0;1;0;3;2;2;3;1;5;2;2;4;4;3;3;5;5;"Seems usable";"It would be nice with some indication for me, the threatened person, that it has recorded my cry for help, but I understand that will be difficult without endangering me";"";"NFt2aeYgmH";"Denmark";1;3;6;6;7;7;6;4
7;"";0;0;0;1;0;3;4;1;5;1;7;2;6;6;7;4;6;6;4;"If more information was provided (for example about limitations) it would be easier to answer the questions in the previous section";"Only whether I would be calm enough if an actual situation occurred where I had to activate the alarm";"";"G4XtOBDQcA";"Denmark";1;7;7;7;7;7;7;7
7;"";0;0;0;1;0;3;1;2;3;1;7;7;7;7;7;7;7;7;4;"Very easy and understandable!:)";"What happens if you write the code wrong by accident? Will you then have to call a number or can you click another button saying it was a mistake?  Like what if i get the first 3 digits correct and then my finger slips on the last one.";"";"usngOSoc4Y";"Denmark";1;7;7;7;7;7;5;7
5;"";0;0;0;1;0;2;3;2;2;2;4;3;4;4;4;4;3;3;4;"";"";"";"VWDoL1ctbp";"Danmark";5;4;4;3;4;3;1;4
7;"";0;0;0;1;0;2;3;2;3;1;7;6;6;6;6;6;6;6;4;"nope";"not really";"";"NImpVN4b6D";"Denmark";1;1;7;5;7;4;6;6
7;"";0;0;0;1;0;3;4;4;2;3;6;5;6;5;6;6;3;4;3;"it depends on the code. it can be difficult to remember two codes";"maybe surveillance. Like the whole ring camera thing.";"";"gEGF1MADta";"Denmark";2;7;7;7;6;6;7;6
6;"";0;0;0;1;0;2;5;2;5;3;6;6;6;6;6;6;6;4;4;"";"";"";"aUOMVktE99";"Denmark";2;7;7;6;6;6;4;7
6;"";0;0;0;1;0;3;5;3;3;2;2;4;4;5;6;2;5;4;3;"Why do I manually have to sound an alarm? Why didn't it go off, when the other person broke in?";"It seems weird to have an emergency call depending on one final button press. It'd make more sense to have a separate passcode for that, but of course, if you don't use it, you might forget it.";"";"K7E9ctqsTQ";"Denmark";1;5;6;7;4;4;4;5
7;"";0;0;0;1;0;3;1;1;5;1;7;6;7;7;7;7;6;7;5;"I wasn't sure whether I needed to input a specific character in the 'hostile' situation or just a random one, as this was not clear from the instructions.";"How do I disarm the alarm if I accidentally hit a random character?";"";"3bL3tnPV1Y";"Denmark";1;7;7;5;7;7;7;6
7;"";0;0;0;1;0;3;2;1;3;1;5;5;5;6;4;4;6;5;1;"It seemed perfectly usable, but I simply could not remember the Panic PIN";"I worry that I will forget the panic PIN, as I actually did. I get the point of it, but I worry that I would scramble too much in a panic situation to actually remember it. If the panic pin could be a variation upon the actual PIN (eg pin is 1312, panic pin is 1319), it would be easier to remember and you would be able to more easily 'feign confidence' in your ability to write the code, if that makes sense?";"";"XnnZBv7dQ1";"Denmark";1;7;1;7;7;2;7;4
6;"";0;0;0;1;0;2;5;1;3;1;6;5;5;4;6;6;3;4;2;"";"";"";"fM5Bh09lRY";"Dk";6;5;7;6;6;6;5;5
7;"";0;0;0;1;0;3;3;2;5;1;6;6;7;6;6;5;6;4;4;"";"Min bekymring er, om jeg selv ville være i stand til at bruge panikkoden, hvis nødvendigt. Hvis der potentielt går mange år før koden skal bruges, kan jeg så huske den? Vil jeg komme til at taste den almindelige kode pga. vane? Vil jeg komme til at afsløre, at jeg er i gang med at tilkalde hjælp - fx ved at tøve når koden skal indtastes? En måde at øge chancen for at taste panikkoden rigtigt, kunne være ved at øve at indtaste panikkoden en gang i mellem. At man fx kan kalde alarmsystemets servicecentral og sige at man vil taste panikkoden som en test.";"";"q1DSGMPLDW";"Denmark";1;7;7;7;6;6;6;7
7;"";0;0;0;1;0;3;2;2;5;1;6;3;6;4;4;6;6;6;4;"";"";"";"8Xo1srfI5U";"Denmark";1;1;1;1;1;1;6;6
